Title,Type,Release Year,Platform,Genre,Creator/Director,Main Cast,IMDb,RT Score,Awards & Noms,Seasons,Short Synopsis,Viewership/Views,Popularity Indicator
Real Time,TV,2016,HBO,Talk/Variety,Bill Maher,Bill Maher,7.4,80%,Emmy Nom ,24,Post-election political analysis.,4.2M avg ,High
Mapplethorpe,Movie,2016,HBO,Doc,Fenton Bailey,Robert Mapplethorpe,7.1,,Emmy Nom ,1,Life of the controversial photographer.,1.0M viewers ,Low
Marathon,Movie,2016,HBO,Documentary,Ricki Stern,Various,7.8,,Emmy Nom ,1,The Boston Marathon bombing aftermath.,1.5M viewers ,Moderate
Class Divide,Movie,2016,HBO,Documentary,Marc Levin,Various,7.2,100%,Critics Choice Nom ,1,"Gentrification in Chelsea, New York.",0.8M viewers ,Low
Big Little Lies (S1),Miniseries,2017,HBO,Mystery Drama,David E. Kelley,"Nicole Kidman, Reese Witherspoon",8.5,93%,8 Emmy Wins ,2,Mothers' lives unravel after a murder.,8.5M total ,Very High
The Deuce (S1),TV,2017,HBO,Period Drama,David Simon,"James Franco, Maggie Gyllenhaal",8.1,93%,1 Golden Globe Nom ,3,The rise of the porn industry in NYC.,2.5M avg ,Moderate
Room 104 (S1),TV,2017,HBO,Anthology,Duplass Brothers,Various,6.1,88%,1 Emmy Nom ,4,Stories set in a single motel room.,0.7M avg ,Cult
Crashing (S1),TV,2017,HBO,Comedy,Pete Holmes,"Pete Holmes, Artie Lange",7.6,90%,1 Emmy Nom ,3,Comedian starts over after divorce.,1.8M avg ,Moderate
Gunpowder,Miniseries,2017,HBO,Historical,Ronan Bennett,"Kit Harington, Liv Tyler",6.6,72%,1 BAFTA Nom ,1,The Gunpowder Plot of 1605.,3.5M total ,Moderate
The Wizard of Lies,Movie,2017,HBO,Drama,Barry Levinson,"Robert De Niro, Michelle Pfeiffer",6.8,72%,4 Emmy Noms ,1,The fall of Bernie Madoff.,3.1M viewers ,High
The Immortal Life,Movie,2017,HBO,Drama,George C. Wolfe,"Oprah Winfrey, Rose Byrne",7,64%,1 Emmy Nom ,1,Searching for Henrietta Lacks' legacy.,4.2M viewers ,High
Tour de Pharmacy,Movie,2017,HBO,Comedy,Jake Szymanski,"Andy Samberg, John Cena",7.1,89%,1 Emmy Nom ,1,Mockumentary on 1980s cycling.,1.8M viewers ,Moderate
Game of Thrones (S7),TV,2017,HBO,Fantasy,"David Benioff, D.B. Weiss","Kit Harington, Emilia Clarke, Peter Dinklage",9.2,93%,1 Emmy Win ,8,The Night King breaks the Wall.,32.8M avg ,Extreme
Silicon Valley (S4),TV,2017,HBO,Comedy,Mike Judge,Thomas Middleditch,8.5,97%,10 Emmy Noms ,6,Richard builds a new internet.,5.1M avg ,High
Veep (S6),TV,2017,HBO,Comedy,David Mandel,Julia Louis-Dreyfus,8.7,96%,Emmy Comedy Win,7,Selina Meyer writes her memoirs.,4.2M avg ,High
Insecure (S2),TV,2017,HBO,Comedy,Issa Rae,Issa Rae,8.1,98%,2 Emmy Noms ,5,Issa navigates the single life.,3.5M avg ,High
Vice Principals (S2),TV,2017,HBO,Comedy,Danny McBride,Danny McBride,8,92%,Critics Choice Nom ,2,The hunt for Gamby's shooter.,4.1M avg ,Moderate
Ballers (S3),TV,2017,HBO,Sports Dramedy,Stephen Levinson,Dwayne Johnson,7.6,60%,NAACP Win ,5,Spencer brings football to Las Vegas.,8.5M avg ,High
The Defiant Ones,Miniseries,2017,HBO,Documentary,Allen Hughes,"Dr. Dre, Jimmy Iovine",8.5,100%,1 Grammy Win ,1,Relationship between Dre and Iovine.,4.0M avg ,High
Bright Lights,Movie,2017,HBO,Doc,Fisher Stevens,"Carrie Fisher, Debbie Reynolds",8,100%,2 Emmy Noms ,1,Portrait of the iconic mother-daughter.,2.1M viewers ,Moderate
If You're Not in the,Movie,2017,HBO,Documentary,Danny Gold,Various,7.6,,Emmy Nom ,1,Creative legends who are over 90.,1.1M viewers ,Low
Cries from Syria,Movie,2017,HBO,Documentary,Evgeny Afineevsky,Various,8.5,92%,Emmy Nom ,1,Account of the Syrian Civil War.,0.9M viewers ,Low
Spielbergs,Movie,2017,HBO,Documentary,Susan Lacy,Steven Spielberg,7.7,92%,Emmy Nom ,1,Life and work of Steven Spielberg.,1.8M viewers ,Moderate
Baltimore Rising,Movie,2017,HBO,Documentary,Sonja Sohn,Various,7.1,,Cinema Eye Nom ,1,Activists in the wake of Freddie Gray.,0.7M viewers ,Low
Succession (S1),TV,2018,HBO,Satire/Drama,Jesse Armstrong,"Brian Cox, Jeremy Strong",8.9,89%,Emmy Best Drama ,4,A media tycoon's children vie for control.,3.5M avg ,Very High
Barry (S1),TV,2018,HBO,Dark Comedy,"Bill Hader, Alec Berg","Bill Hader, Henry Winkler",8.8,98%,3 Emmy Wins ,4,A hitman tries to become an actor.,2.5M avg ,High
Sharp Objects,Miniseries,2018,HBO,Mystery,Jean-Marc Vallée,"Amy Adams, Patricia Clarkson",8.1,92%,1 Golden Globe Win ,1,Reporter returns home to solve murders.,7.5M total ,High
My Brilliant Friend,TV,2018,HBO,Period Drama,Saverio Costanzo,Gaia Girace,8.6,98%,1 Peabody Win ,4,Two girls grow up in post-war Naples.,1.5M avg ,Cult
Here and Now,TV,2018,HBO,Drama,Alan Ball,"Tim Robbins, Holly Hunter",6.6,24%,nan,1,Multi-racial family in modern America.,1.8M avg ,Low
Paterno,Movie,2018,HBO,Biography,Barry Levinson,Al Pacino,6.5,73%,2 Emmy Noms ,1,Joe Paterno during the Sandusky scandal.,2.8M viewers ,Moderate
The Tale,Movie,2018,HBO,Drama,Jennifer Fox,"Laura Dern, Elizabeth Debicki",7.2,99%,2 Emmy Noms ,1,Filmmaker re-examines her first romance.,1.9M viewers ,Moderate
Fahrenheit 451,Movie,2018,HBO,Sci-Fi,Ramin Bahrani,Michael B. Jordan,4.9,32%,5 Emmy Noms ,1,Dystopian future where books are burned.,3.5M viewers ,High
Sally4Ever,TV,2018,HBO,Comedy,Julia Davis,"Julia Davis, Catherine Shepherd",6.8,97%,1 BAFTA Nom ,1,Sally leaves her boring boyfriend.,0.4M avg ,Low
Camping,TV,2018,HBO,Comedy,Lena Dunham,"Jennifer Garner, David Tennant",5.2,27%,nan,1,A camping trip becomes a disaster.,1.1M avg ,Moderate
Westworld (S2),TV,2018,HBO,Sci-Fi,Jonathan Nolan,Evan Rachel Wood,8.5,85%,4 Emmy Wins ,4,The host rebellion spreads to the park.,10.5M total ,High
Silicon Valley (S5),TV,2018,HBO,Comedy,Mike Judge,Thomas Middleditch,8.5,89%,7 Emmy Noms ,6,Pied Piper scales up but faces bugs.,4.8M avg ,High
Insecure (S3),TV,2018,HBO,Comedy,Issa Rae,Issa Rae,8.1,94%,1 Emmy Nom ,5,Issa moves on from Lawrence.,3.8M avg ,High
Ballers (S4),TV,2018,HBO,Sports Dramedy,Stephen Levinson,Dwayne Johnson,7.6,55%,People's Choice ,5,Spencer deals with the NCAA in LA.,8.2M avg ,High
Last Week Tonight,TV,2018,HBO,Talk/News,John Oliver,John Oliver,8.9,100%,4 Emmy Wins ,13,Global trade and social media ethics.,4.8M avg ,High
Real Time,TV,2018,HBO,Talk/Variety,Bill Maher,Bill Maher,7.4,85%,Emmy Nom ,24,Midterm election cycles.,4.5M avg ,High
Robin Williams,Movie,2018,HBO,Documentary,Marina Zenovich,Robin Williams,8,96%,3 Emmy Noms ,1,Life and comedy of Robin Williams.,2.5M viewers ,High
Andre the Giant,Movie,2018,HBO,Documentary,Jason Hehir,Various,8.1,94%,Sports Emmy Win ,1,Biography of the wrestling legend.,3.0M viewers ,High
The Zen Diaries,Movie,2018,HBO,Documentary,Judd Apatow,Garry Shandling,8.4,100%,Emmy Win ,1,The life of Garry Shandling.,1.8M viewers ,Moderate
King in the Wilder,Movie,2018,HBO,Documentary,Peter Kunhardt,Martin Luther King Jr,8,100%,Emmy Win ,1,Dr. King's final years.,1.2M viewers ,Moderate
Chernobyl,Miniseries,2019,HBO,History Drama,Craig Mazin,"Jared Harris, Stellan Skarsgård",9.3,95%,10 Emmy Wins ,1,The 1986 nuclear disaster.,12M total ,Very High
Euphoria (S1),TV,2019,HBO,Teen Drama,Sam Levinson,"Zendaya, Hunter Schafer",8.3,80%,3 Emmy Wins ,3,Teens navigate drug addiction and trauma.,6.6M total ,Very High
Watchmen,Miniseries,2019,HBO,Superhero/Mystery,Damon Lindelof,"Regina King, Jeremy Irons",8.2,96%,11 Emmy Wins ,1,Alternate history legacy of superheroes.,7.1M total ,High
Succession (S2),TV,2019,HBO,Satire/Drama,Jesse Armstrong,"Jeremy Strong, Sarah Snook",8.9,97%,Emmy Best Drama ,4,The Roy family faces the Pierce merger.,4.8M avg ,Very High
Barry (S2),TV,2019,HBO,Dark Comedy,Bill Hader,Bill Hader,8.8,100%,3 Emmy Wins ,4,Barry struggles to balance acting and killing.,3.2M avg ,High
Big Little Lies (S2),TV,2019,HBO,Mystery Drama,Kelley,"Nicole Kidman, Meryl Streep",8.5,85%,1 Emmy Nom ,2,"The ""Monterey Five"" hide their secret.",10.5M total ,High
Game of Thrones (S8),TV,2019,HBO,Fantasy,"David Benioff, D.B. Weiss","Kit Harington, Emilia Clarke, Peter Dinklage",9.2,55%,12 Emmy Wins ,8,The final battle for the Iron Throne.,44.2M total ,Extreme
His Dark Materials,TV,2019,HBO,Fantasy,Jack Thorne,Dafne Keen,7.8,81%,2 Emmy Noms ,3,Orphans in a multiverse.,4.5M total ,High
Los Espookys (S1),TV,2019,HBO,Comedy,Julio Torres,Julio Torres,7.4,100%,Peabody Nom ,2,Horror enthusiasts run a gore business.,0.8M avg ,Cult
Years and Years,Miniseries,2019,HBO,Sci-Fi,Russell T. Davies,Emma Thompson,8.3,89%,1 Emmy Nom ,1,15 years in the life of a British family.,2.1M total ,Moderate
Our Boys,Miniseries,2019,HBO,Crime Drama,Hagai Levi,Various,7.3,94%,1 Emmy Nom ,1,Events leading to the 2014 Gaza conflict.,1.8M total ,Moderate
Catherine the Great,Miniseries,2019,HBO,Period Drama,Nigel Williams,Helen Mirren,6.2,68%,Golden Globe Nom ,1,The later years of the Russian Empress.,3.5M total ,Moderate
Deadwood: Movie,Movie,2019,HBO,Western,David Milch,Ian McShane,7.4,98%,8 Emmy Noms ,1,Reunion of the Deadwood characters.,2.5M viewers ,High
Bad Education,Movie,2019,HBO,Crime Comedy,Cory Finley,"Hugh Jackman, Allison Janney",7.1,94%,1 Emmy Win ,1,True school embezzlement scandal.,3.2M viewers ,High
Native Son,Movie,2019,HBO,Drama,Rashid Johnson,Ashton Sanders,5.8,61%,1 Emmy Nom ,1,Modern take on Richard Wright's novel.,1.1M viewers ,Low
Share,Movie,2019,HBO,Drama,Pippa Bianco,Rhianne Barreto,6.8,86%,1 Emmy Nom ,1,A teen discovers a video of her assault.,0.8M viewers ,Low
Leaving Neverland,Movie,2019,HBO,Documentary,Dan Reed,James Safechuck,8.1,98%,Emmy Win ,1,Accusations against Michael Jackson.,6.1M viewers ,Extreme
The Apollo,Movie,2019,HBO,Documentary,Roger Ross Williams,Various,8,96%,Emmy Win ,1,History of the Apollo Theater.,1.2M viewers ,Moderate
True Detective (S3),TV,2019,HBO,Crime Drama,Nic Pizzolatto,Mahershala Ali,7.9,85%,1 Emmy Nom ,4,A macabre crime in the Ozarks.,8.5M total ,High
Veep (S7),TV,2019,HBO,Comedy,David Mandel,Julia Louis-Dreyfus,8.7,96%,9 Emmy Noms ,7,Selina Meyer's final run for President.,5.2M total ,High
Raised by Wolves,TV,2020,Max,Sci-Fi,Aaron Guzikowski,Travis Fimmel,7.6,74%,1 Emmy Nom ,2,Androids raise humans on a new planet.,5.5M avg ,High
Flight Attendant,TV,2020,Max,Comedy Drama,Steve Yockey,Kaley Cuoco,7.1,91%,9 Emmy Noms ,2,A woman wakes up to a dead lover.,8.1M avg ,High
Love Life (S1),TV,2020,Max,Rom-Com,Sam Boyd,Anna Kendrick,7.5,81%,nan,2,Anthology of modern romance.,4.2M avg ,Moderate
Close Enough,TV,2020,Max,Animation,J.G. Quintel,J.G. Quintel,7.7,100%,1 Emmy Nom ,3,Couples navigate life in their 30s.,3.5M avg ,High
Legendary,TV,2020,Max,Reality,David Collins,Megan Thee Stallion,7.8,91%,1 Emmy Win ,3,Ballroom competition for $100k.,2.8M avg ,Moderate
Selena + Chef,TV,2020,Max,Reality,Various,Selena Gomez,8.2,,1 Emmy Nom ,5,Selena learns to cook with pros.,4.5M avg ,High
Looney Tunes,TV,2020,Max,Animation,Peter Browngardt,Eric Bauza,8.2,88%,1 Emmy Win ,6,Classic slapstick reboot.,6.2M avg ,High
On the Record,Movie,2020,Max,Documentary,Kirby Dick,Drew Dixon,7.1,99%,Critics Win ,1,Accusations against Russell Simmons.,1.8M ,Moderate
I'll Be Gone in,TV,2020,HBO,Docuseries,Liz Garbus,Michelle McNamara,8.1,96%,1 Emmy Nom ,1,Hunt for the Golden State Killer.,2.5M avg ,Moderate
The Vow,TV,2020,HBO,Docuseries,Jehane Noujaim,Sarah Edmondson,7.1,75%,Emmy Nom ,2,Inside the NXIVM cult.,3.2M avg ,High
Perry Mason,TV,2020,HBO,Period Drama,Ron Fitzgerald,Matthew Rhys,7.6,75%,4 Emmy Noms ,2,1930s LA defense lawyer origin.,8.0M avg ,High
I May Destroy You,TV,2020,HBO,Drama,Michaela Coel,Michaela Coel,8.1,98%,2 Emmy Wins ,1,Dealing with the aftermath of assault.,2.1M avg ,High
The Outsider,TV,2020,HBO,Crime Horror,Richard Price,Ben Mendelsohn,7.7,91%,1 Emmy Nom ,1,Investigation of a child's murder.,9.0M avg ,High
Let Them All Talk,Movie,2020,Max,Comedy Drama,Steven Soderbergh,Meryl Streep,6.1,88%,nan,1,Author takes friends on a cruise.,2.5M ,Moderate
Charm City Kings,Movie,2020,Max,Drama,Angel Manuel Soto,Winston,6.8,79%,Sundance Win ,1,Dirt bike culture in Baltimore.,1.5M ,Moderate
Unpregnant,Movie,2020,Max,Comedy,Rachel Goldenberg,Haley Richardson,6.3,91%,GLAAD Nom ,1,Road trip for an abortion.,1.2M ,Moderate
Superintelligence,Movie,2020,Max,Action Comedy,Ben Falcone,Melissa McCarthy,5.4,31%,nan,1,AI chooses a test subject for humanity.,4.8M ,High
An American Pick,Movie,2020,Max,Comedy,Brandon Trost,Seth Rogen,5.7,73%,nan,1,Man preserved in brine for 100 years.,2.9M ,Moderate
We Are Who We Are,TV,2020,HBO,Drama,Luca Guadagnino,Jack Dylan Grazer,7.2,92%,nan,1,Teens on an American military base.,0.8M avg ,Low
Lovecraft Countr,TV,2020,HBO,Horror Drama,Misha Green,Jonathan Majors,7.1,88%,2 Emmy Wins ,1,Jim Crow America meets monsters.,7.5M avg ,High
Hacks (S1),TV,2021,Max,Dark Comedy,Lucia Aniello,Jean Smart,8.2,100%,3 Emmy Wins ,5,Aging Vegas comic vs. young writer.,8.5M avg ,High
The White Lotus (S1),TV,2021,HBO,Tragicomedy,Mike White,Jennifer Coolidge,7.7,89%,10 Emmy Wins ,3,Vacationers' secrets in Hawaii.,9.2M avg ,Very High
Mare of Easttown,Miniseries,2021,HBO,Crime Drama,Brad Ingelsby,Kate Winslet,8.5,95%,4 Emmy Wins ,1,Detective investigates a local murder.,11M total ,High
Station Eleven,Miniseries,2021,Max,Sci-Fi Drama,P. Somerville,Mackenzie Davis,7.7,98%,1 Emmy Nom ,1,Survival after a flu pandemic.,4.8M total ,Cult
Succession (S3),TV,2021,HBO,Satire/Drama,Jesse Armstrong,Brian Cox,8.9,97%,Emmy Best Drama ,4,Civil war within the Roy family.,6.5M avg ,Very High
Gossip Girl,TV,2021,Max,Teen Drama,Joshua Safran,Alexander,5.3,38%,nan,2,Reboot of the iconic teen series.,7.8M total ,High
Peacemaker,TV,2021,Max,Superhero,James Gunn,John Cena,8.3,94%,1 Emmy Nom ,2,A violent vigilante seeks peace.,10.1M avg ,Very High
Friends: Reunion,Special,2021,Max,Unscripted,Ben Winston,Friends Cast,8,67%,Emmy Nom ,1,Cast returns to the original set.,25M total ,Extreme
Made for Love,TV,2021,Max,Dark Comedy,Alissa Nutting,Cristin Milioti,6.9,94%,1 Emmy Nom ,2,Woman flees a tech billionaire.,3.2M avg ,Moderate
Zack Snyder's JL,Movie,2021,Max,Superhero,Zack Snyder,Ben Affleck,8,71%,MTV Movie Win ,1,The 4-hour director's cut.,15M total ,High
Dune,Movie,2021,Max,Sci-Fi,D. Villeneuve,Chalamet,8,83%,6 Oscar Wins ,1,First part of the epic adaptation.,22M total ,Extreme
No Sudden Move,Movie,2021,Max,Heist,Soderbergh,Don Cheadle,6.4,92%,nan,1,1950s Detroit heist gone wrong.,2.5M ,Moderate
The Suicide Squad,Movie,2021,Max,Superhero,James Gunn,Margot Robbie,7.2,90%,Critics Nom ,1,Task Force X mission to Corto Maltese.,12.8M ,High
Roadrunner,Movie,2021,Max,Documentary,Morgan Neville,Bourdain,7.7,91%,Emmy Nom ,1,Life and death of Anthony Bourdain.,3.1M ,Moderate
The L Word: Gen Q,TV,2021,Max,Drama,Marja-Lewis Ryan,Beals,7,80%,GLAAD Nom ,3,Continuation of the LGBTQ series.,1.8M avg ,Moderate
In Treatment (S4),TV,2021,HBO,Drama,Stephen Levinson,Uzo Aduba,7.3,90%,Emmy Nom ,4,A new therapist sees diverse clients.,1.2M avg ,Low
Scenes from a,Miniseries,2021,HBO,Drama,Hagai Levi,Jessica Chastain,8.1,82%,Golden Globe Nom ,1,Deconstruction of a modern marriage.,2.5M total ,Moderate
Landscapers,Miniseries,2021,HBO,Crime Drama,Ed Sinclair,Olivia Colman,7,98%,BAFTA Winner ,1,Mild-mannered couple kills parents.,1.9M total ,Cult
100 Foot Wave,TV,2021,HBO,Docuseries,Chris Smith,Garrett McNamara,8.1,,Emmy Win ,3,Big-wave surfing in Nazaré.,3.5M avg ,High
Painting with John,TV,2021,HBO,Unscripted,John Lurie,John Lurie,7.5,100%,nan,3,Meditative art and storytelling.,0.4M avg ,Low
House of the Dragon,TV,2022,HBO,Fantasy,Ryan Condal,Matt Smith,8.4,93%,Golden Globe Win ,2,The civil war within the Targaryens.,29M per ep ,Extreme
The Gilded Age,TV,2022,HBO,Period Drama,Julian Fellowes,Carrie Coon,8,76%,Emmy Winner ,3,Social wars in 1880s New York.,8.5M avg ,High
The Rehearsal,TV,2022,HBO,Comedy,Nathan Fielder,Nathan Fielder,8.6,96%,Critics Nom ,2,Man helps people rehearse for life.,2.1M avg ,Cult
The Staircase,Miniseries,2022,Max,Crime Drama,Antonio Campos,Colin Firth,7.1,92%,Emmy Nom ,1,Investigating a wife's death.,6.8M total ,High
Tokyo Vice,TV,2022,Max,Crime Drama,J.T. Rogers,Ansel Elgort,8,88%,1 Emmy Nom ,2,American reporter in 1990s Tokyo.,4.5M avg ,Moderate
Julia,TV,2022,Max,Biography,Daniel Goldfarb,Sarah Lancashire,8.2,93%,Critics Nom ,2,Life of chef Julia Child.,3.2M avg ,Moderate
Our Flag Means,TV,2022,Max,Comedy,David Jenkins,Rhys Darby,7.8,92%,GLAAD Win ,2,Gentleman pirate and Blackbeard.,5.5M avg ,High
Minx,TV,2022,Max,Comedy,Ellen Rapoport,Ophelia Lovibond,7.7,91%,nan,1,First erotic magazine for women.,2.8M avg ,Moderate
Rap Sh!t,TV,2022,Max,Comedy,Issa Rae,Aida Osman,7,100%,1 Emmy Nom ,2,Two rappers from Miami seek fame.,2.4M avg ,Moderate
The White Lotus (S2),TV,2022,HBO,Tragicomedy,Mike White,Jennifer Coolidge,7.7,94%,5 Emmy Wins ,3,Sexual politics and murder in Sicily.,10.1M avg ,Very High
Barry (S3),TV,2022,HBO,Dark Comedy,Bill Hader,Bill Hader,8.8,100%,4 Emmy Wins ,4,Barry's world collapses.,3.5M avg ,High
Westworld (S4),TV,2022,HBO,Sci-Fi,Jonathan Nolan,Evan Rachel Wood,8.5,76%,1 Emmy Nom ,4,Host-controlled world 23 years later.,4.2M avg ,High
Winning Time,TV,2022,HBO,Sports Drama,Max Borenstein,John C. Reilly,8.2,84%,1 Emmy Win ,2,Rise of the Lakers' dynasty.,5.8M avg ,High
The Thaw,TV,2022,Max,Crime Drama,Xawery ?u?awski,Katarzyna Wajda,7,,Polish Film Awards ,3,Polish detective investigates murder.,1.5M avg ,Cult
Father of the Bride,Movie,2022,Max,Comedy,Gary Alazraki,Andy Garcia,5.9,80%,nan,1,Cuban-American wedding drama.,6.5M ,High
Kimi,Movie,2022,Max,Thriller,Soderbergh,Zoë Kravitz,6.3,92%,nan,1,Agoraphobe hears a crime.,4.1M ,Moderate
The Fallout,Movie,2022,Max,Drama,Megan Park,Jenna Ortega,7,93%,SXSW Winner ,1,Students process school shooting.,5.2M ,High
Navalny,Movie,2022,Max,Documentary,Daniel Roher,Alexei Navalny,8.2,99%,Oscar Winner ,1,Investigation into poisoning.,3.5M ,High
