"INDEX","SHOOTER","X","Y","RANGE","DEFENDER","SCORE"
"64","Seth Curry","11.4834316517","23.1563154751","(20, 24)","Trae Young","MADE"
"65","Seth Curry","-20.738588149","6.3967967791","(20, 24)","Chris Paul","MADE"
"66","Seth Curry","-20.2422066744","13.5144600757","(20, 24)","Russell Westbrook","MADE"
"67","Seth Curry","13.7465739055","24.4640080886","(20, 24)","Chris Paul","MADE"
"68","Seth Curry","15.3593959293","22.9583017052","(20, 24)","Trae Young","MADE"
"69","Seth Curry","-0.8784654594","28.5069696994","(20, 24)","Trae Young","MADE"
"70","Seth Curry","-22.0182437756","12.3705244742","(20, 24)","Trae Young","MADE"
"71","Seth Curry","14.2963877491","23.4429867791","(20, 24)","Trae Young","MADE"
"72","Seth Curry","5.6754760221","27.277406821","(20, 24)","Trae Young","MADE"
"73","Seth Curry","-13.3290361486","22.0622189934","(20, 24)","Trae Young","MADE"
"74","Seth Curry","-19.8257874137","13.9063446538","(20, 24)","Chris Paul","MADE"
"75","Seth Curry","-9.0022945249","24.1641923943","(20, 24)","Chris Paul","MADE"
"76","Seth Curry","-13.078475726","20.5779720347","(20, 24)","Chris Paul","MADE"
"77","Seth Curry","20.0362326167","15.1067835713","(20, 24)","Trae Young","MADE"
"78","Seth Curry","3.0381148312","27.5796813746","(20, 24)","Russell Westbrook","MISSED"
"79","Seth Curry","-8.2541630455","24.582278951","(20, 24)","Russell Westbrook","MISSED"
"80","Seth Curry","17.1625470001","21.3423165191","(20, 24)","Chris Paul","MISSED"
"81","Seth Curry","-17.6249776294","20.9509200534","(20, 24)","Russell Westbrook","MISSED"
"82","Seth Curry","19.8928287215","13.4636748643","(20, 24)","Chris Paul","MISSED"
"83","Seth Curry","1.5119342113","28.1053472318","(20, 24)","Russell Westbrook","MISSED"
"84","Seth Curry","-10.797996905","23.1438329364","(20, 24)","Chris Paul","MISSED"
"85","Seth Curry","-11.6307274048","21.9521193985","(20, 24)","Russell Westbrook","MISSED"
"86","Seth Curry","17.1974276986","20.4595584764","(20, 24)","Russell Westbrook","MISSED"
"87","Seth Curry","17.7230582678","15.5803566291","(20, 24)","Chris Paul","MISSED"
"88","Seth Curry","-13.8500670618","29.5998316852","(25, 29)","Chris Paul","MADE"
"89","Seth Curry","-5.5444219237","31.6354458829","(25, 29)","Chris Paul","MADE"
"90","Seth Curry","14.3327408566","27.1157099805","(25, 29)","Russell Westbrook","MADE"
"91","Seth Curry","-24.2320519623","5.8291528529","(25, 29)","Russell Westbrook","MADE"
"92","Seth Curry","23.6315697912","19.8198885479","(25, 29)","Trae Young","MADE"
"93","Seth Curry","21.735183323","23.0453075363","(25, 29)","Russell Westbrook","MADE"
"94","Seth Curry","23.1038782028","19.0685243447","(25, 29)","Trae Young","MADE"
"95","Seth Curry","23.2587397059","18.2484226823","(25, 29)","Chris Paul","MADE"
"96","Seth Curry","-24.2320519623","15.2095131382","(25, 29)","Trae Young","MADE"
"97","Seth Curry","23.952741768","10.0405893304","(25, 29)","Chris Paul","MADE"
"98","Seth Curry","23.7183453125","15.8197130259","(25, 29)","Chris Paul","MADE"
"99","Seth Curry","-0.8565501786","33.8539132503","(25, 29)","Trae Young","MADE"
